# tracer: function_graph
#
# function_graph latency trace v1.1.5 on 5.10.60-prod01
# --------------------------------------------------------------------
# latency: 0 us, #455643/572368, CPU#0 | (M:preempt VP:0, KP:0, SP:0 HP:0 #P:6)
#    -----------------
#    | task: -0 (uid:0 nice:0 policy:0 rt_prio:0)
#    -----------------
#
#                                       _-----=> irqs-off        
#                                      / _----=> need-resched    
#                                     | / _---=> hardirq/softirq 
#                                     || / _--=> preempt-depth   
#                                     ||| /                      
#     TIME        CPU  TASK/PID       ||||     DURATION                  FUNCTION CALLS
#      |          |     |    |        ||||      |   |                     |   |   |   |
35089.466993 |   1)   grep-7018    |  ...1 |               |        page_add_file_rmap() {
35089.466993 |   1)   grep-7018    |  ...1 |               |          lock_page_memcg() {

[ ... <truncated> ... ]

35093.286850 |   1)  kworker-6901  |  d..2 |   0.819 us    |  psi_task_switch();
 ------------------------------------------
 1)  kworker-6901  =>    <idle>-0   
 ------------------------------------------

35093.286853 |   1)    <idle>-0    |  d..2 |   0.744 us    |  finish_task_switch();
 ------------------------------------------
 1)    <idle>-0    =>   ping-7093   
 ------------------------------------------

35093.895573 |   1)   ping-7093    |  d..2 |   6.345 us    |  finish_task_switch();
35093.895676 |   1)   ping-7093    |  .... |               |  ext4_bread_batch() {
35093.895677 |   1)   ping-7093    |  .... |   1.066 us    |    _raw_read_lock();
35093.895680 |   1)   ping-7093    |  ...1 |   0.796 us    |    _raw_read_unlock();
35093.895687 |   1)   ping-7093    |  .... | + 12.434 us   |  } /* ext4_bread_batch */
35093.895694 |   1)   ping-7093    |  .... |   1.569 us    |  task_work_add();
35093.895729 |   1)   ping-7093    |  .... |   3.258 us    |  task_work_run();
35093.895773 |   1)   ping-7093    |  .... |               |  ext4_bread_batch() {
35093.895774 |   1)   ping-7093    |  .... |   0.721 us    |    _raw_read_lock();
35093.895776 |   1)   ping-7093    |  ...1 |   0.637 us    |    _raw_read_unlock();
35093.895779 |   1)   ping-7093    |  .... |   6.451 us    |  } /* ext4_bread_batch */
35093.895783 |   1)   ping-7093    |  .... |   0.854 us    |  task_work_add();
35093.895803 |   1)   ping-7093    |  .... |   2.233 us    |  task_work_run();
35093.895842 |   1)   ping-7093    |  .... |               |  __ext4_read_dirblock() {
35093.895843 |   1)   ping-7093    |  .... |               |    ext4_bread() {
35093.895844 |   1)   ping-7093    |  .... |   0.829 us    |      _raw_read_lock();
35093.895846 |   1)   ping-7093    |  ...1 |   0.648 us    |      _raw_read_unlock();
35093.895850 |   1)   ping-7093    |  .... |   7.096 us    |    } /* ext4_bread */
35093.895851 |   1)   ping-7093    |  .... |   8.864 us    |  } /* __ext4_read_dirblock */
35093.895853 |   1)   ping-7093    |  .... |               |  __ext4_read_dirblock() {
35093.895854 |   1)   ping-7093    |  .... |               |    ext4_bread() {
35093.895854 |   1)   ping-7093    |  .... |   0.667 us    |      _raw_read_lock();
35093.895856 |   1)   ping-7093    |  ...1 |   0.636 us    |      _raw_read_unlock();
35093.895858 |   1)   ping-7093    |  .... |   4.699 us    |    } /* ext4_bread */
35093.895859 |   1)   ping-7093    |  .... |   6.160 us    |  } /* __ext4_read_dirblock */
35093.895867 |   1)   ping-7093    |  .... |   0.854 us    |  task_work_add();
35093.895885 |   1)   ping-7093    |  .... |   2.174 us    |  task_work_run();
35093.895923 |   1)   ping-7093    |  .... |               |  __ext4_read_dirblock() {
35093.895924 |   1)   ping-7093    |  .... |               |    ext4_bread() {
35093.895925 |   1)   ping-7093    |  .... |   0.691 us    |      _raw_read_lock();
35093.895926 |   1)   ping-7093    |  ...1 |   0.637 us    |      _raw_read_unlock();
35093.895930 |   1)   ping-7093    |  .... |   6.059 us    |    } /* ext4_bread */
35093.895931 |   1)   ping-7093    |  .... |   7.642 us    |  } /* __ext4_read_dirblock */
35093.895932 |   1)   ping-7093    |  .... |               |  __ext4_read_dirblock() {
35093.895933 |   1)   ping-7093    |  .... |               |    ext4_bread() {
35093.895933 |   1)   ping-7093    |  .... |   0.659 us    |      _raw_read_lock();
35093.895935 |   1)   ping-7093    |  ...1 |   0.641 us    |      _raw_read_unlock();
35093.895938 |   1)   ping-7093    |  .... |   5.213 us    |    } /* ext4_bread */
35093.895939 |   1)   ping-7093    |  .... |   6.821 us    |  } /* __ext4_read_dirblock */
35093.895955 |   1)   ping-7093    |  .... |   0.996 us    |  _raw_read_lock();
35093.895956 |   1)   ping-7093    |  ...1 |   0.670 us    |  _raw_read_unlock();
35093.895969 |   1)   ping-7093    |  .... |               |  security_task_getsecid() {
35093.895970 |   1)   ping-7093    |  .... |               |    apparmor_task_getsecid() {
35093.895971 |   1)   ping-7093    |  .... |   0.853 us    |      aa_get_task_label();
35093.895972 |   1)   ping-7093    |  .... |   2.498 us    |    } /* apparmor_task_getsecid */
35093.895973 |   1)   ping-7093    |  .... |   4.137 us    |  } /* security_task_getsecid */
35093.895976 |   1)   ping-7093    |  d..1 |               |  select_task_rq_fair() {
35093.895978 |   1)   ping-7093    |  d..1 |   2.031 us    |    task_h_load();
35093.895982 |   1)   ping-7093    |  d..1 |   6.224 us    |  } /* select_task_rq_fair */
35093.895996 |   1)   ping-7093    |  .... |   1.304 us    |  task_active_pid_ns();
35093.895998 |   1)   ping-7093    |  .... |   1.063 us    |  __task_pid_nr_ns();
35093.896000 |   1)   ping-7093    |  .... |               |  kernel_read() {
35093.896003 |   1)   ping-7093    |  .... |               |    __kernel_read() {
35093.896004 |   1)   ping-7093    |  .... |               |      ext4_file_read_iter() {
35093.896005 |   1)   ping-7093    |  .... |               |        generic_file_read_iter() {
35093.896006 |   1)   ping-7093    |  .... |               |          generic_file_buffered_read() {
35093.896008 |   1)   ping-7093    |  .... |               |            ondemand_readahead() {
35093.896024 |   1)   ping-7093    |  .... |               |              read_pages() {
35093.896025 |   1)   ping-7093    |  .... |               |                ext4_readahead() {
35093.896026 |   1)   ping-7093    |  .... |               |                  ext4_mpage_readpages() {
35093.896028 |   1)   ping-7093    |  .... |   0.764 us    |                    _raw_read_lock();
35093.896029 |   1)   ping-7093    |  ...1 |   0.653 us    |                    _raw_read_unlock();
35093.896032 |   1)   ping-7093    |  .... |   0.921 us    |                    _raw_write_lock();
35093.896036 |   1)   ping-7093    |  ...1 |   0.682 us    |                    _raw_write_unlock();
35093.896039 |   1)   ping-7093    |  .... |   0.710 us    |                    _raw_write_lock();
35093.896041 |   1)   ping-7093    |  ...1 |   0.636 us    |                    _raw_write_unlock();
35093.896049 |   1)   ping-7093    |  .... |   1.248 us    |                    __disk_get_part();
35093.896061 |   1)   ping-7093    |  .... |   1.262 us    |                    disk_map_sector_rcu();
35093.896063 |   1)   ping-7093    |  .... | + 37.352 us   |                  } /* ext4_mpage_readpages */
35093.896064 |   1)   ping-7093    |  .... | + 39.012 us   |                } /* ext4_readahead */
35093.896070 |   1)   ping-7093    |  ...2 |   1.118 us    |                blk_req_needs_zone_write_lock();
35093.896138 |   1)   ping-7093    |  .... | ! 113.955 us  |              } /* read_pages */
35093.896139 |   1)   ping-7093    |  .... | ! 131.171 us  |            } /* ondemand_readahead */
35093.896144 |   1)   ping-7093    |  d..2 |   4.225 us    |            psi_task_change();
35093.896148 |   1)   ping-7093    |  d..2 |   5.379 us    |            dequeue_task_fair();
35093.896156 |   1)   ping-7093    |  d..2 |   1.849 us    |            pick_next_task_fair();
35093.896158 |   1)   ping-7093    |  d..2 |   1.297 us    |            put_prev_task_fair();
35093.896160 |   1)   ping-7093    |  d..2 |   1.114 us    |            psi_task_switch();
35093.896742 |   1)   ping-7093    |  d..2 |   3.308 us    |            finish_task_switch();
35093.896749 |   1)   ping-7093    |  .... | ! 743.515 us  |          } /* generic_file_buffered_read */
35093.896750 |   1)   ping-7093    |  .... | ! 745.268 us  |        } /* generic_file_read_iter */
35093.896751 |   1)   ping-7093    |  .... | ! 747.018 us  |      } /* ext4_file_read_iter */
