# tracer: function_graph
#
# function_graph latency trace v1.1.5 on 5.10.60-prod01
# --------------------------------------------------------------------
# latency: 0 us, #3973/3973, CPU#0 | (M:preempt VP:0, KP:0, SP:0 HP:0 #P:6)
#    -----------------
#    | task: -0 (uid:0 nice:0 policy:0 rt_prio:0)
#    -----------------
#
#                                       _-----=> irqs-off        
#                                      / _----=> need-resched    
#                                     | / _---=> hardirq/softirq 
#                                     || / _--=> preempt-depth   
#                                     ||| /                      
#     TIME        CPU  TASK/PID       ||||     DURATION                  FUNCTION CALLS
#      |          |     |    |        ||||      |   |                     |   |   |   |
  384.905506 |   1)   ping-1556    |  d..2 | + 15.986 us   |  finish_task_switch();
  384.905617 |   1)   ping-1556    |  .... |               |  ext4_bread_batch() {
  384.905618 |   1)   ping-1556    |  .... |   0.913 us    |    _raw_read_lock();
  384.905621 |   1)   ping-1556    |  ...1 |   0.779 us    |    _raw_read_unlock();
  384.905625 |   1)   ping-1556    |  .... |   9.156 us    |  } /* ext4_bread_batch */
  384.905703 |   1)   ping-1556    |  .... |               |  ext4_bread_batch() {
  384.905704 |   1)   ping-1556    |  .... |   0.911 us    |    _raw_read_lock();
  384.905706 |   1)   ping-1556    |  ...1 |   0.690 us    |    _raw_read_unlock();
  384.905709 |   1)   ping-1556    |  .... |   6.024 us    |  } /* ext4_bread_batch */
  384.905765 |   1)   ping-1556    |  .... |               |  __ext4_read_dirblock() {
  384.905767 |   1)   ping-1556    |  .... |               |    ext4_bread() {
  384.905767 |   1)   ping-1556    |  .... |   0.835 us    |      _raw_read_lock();
  384.905769 |   1)   ping-1556    |  ...1 |   0.625 us    |      _raw_read_unlock();
  384.905772 |   1)   ping-1556    |  .... |   5.571 us    |    } /* ext4_bread */
  384.905772 |   1)   ping-1556    |  .... |   7.597 us    |  } /* __ext4_read_dirblock */
  384.905775 |   1)   ping-1556    |  .... |               |  __ext4_read_dirblock() {
  384.905776 |   1)   ping-1556    |  .... |               |    ext4_bread() {
  384.905776 |   1)   ping-1556    |  .... |   0.641 us    |      _raw_read_lock();
  384.905778 |   1)   ping-1556    |  ...1 |   0.659 us    |      _raw_read_unlock();
  384.905782 |   1)   ping-1556    |  .... |   6.460 us    |    } /* ext4_bread */
  384.905783 |   1)   ping-1556    |  .... |   8.229 us    |  } /* __ext4_read_dirblock */
  384.905841 |   1)   ping-1556    |  .... |               |  __ext4_read_dirblock() {
  384.905842 |   1)   ping-1556    |  .... |               |    ext4_bread() {
