# tracer: function_graph
#
# function_graph latency trace v1.1.5 on 5.10.60-prod01
# --------------------------------------------------------------------
# latency: 0 us, #641/641, CPU#0 | (M:preempt VP:0, KP:0, SP:0 HP:0 #P:6)
#    -----------------
#    | task: -0 (uid:0 nice:0 policy:0 rt_prio:0)
#    -----------------
#
#                                       _-----=> irqs-off        
#                                      / _----=> need-resched    
#                                     | / _---=> hardirq/softirq 
#                                     || / _--=> preempt-depth   
#                                     ||| /                      
#     TIME        CPU  TASK/PID       ||||     DURATION                  FUNCTION CALLS
#      |          |     |    |        ||||      |   |                     |   |   |   |
 9344.121158 |   1)   ping-1922    |  ...1 |               |  /* sys_sched_setaffinity -> 0x0 */
 9344.121174 |   1)   ping-1922    |  ...1 |               |  /* sys_execve(filename: 7ffdf95b78d0, argv: 7ffdf95b7b38, envp: 7ffdf95b7b58) */
 9344.121301 |   1)   ping-1922    |  ...1 |               |  /* sys_execve -> 0xfffffffffffffffe */
 9344.121306 |   1)   ping-1922    |  ...1 |               |  /* sys_execve(filename: 7ffdf95b78d0, argv: 7ffdf95b7b38, envp: 7ffdf95b7b58) */
 9344.121367 |   1)   ping-1922    |  ...1 |               |  /* sys_execve -> 0xfffffffffffffffe */
 9344.121370 |   1)   ping-1922    |  ...1 |               |  /* sys_execve(filename: 7ffdf95b78d0, argv: 7ffdf95b7b38, envp: 7ffdf95b7b58) */
 9344.121435 |   1)   ping-1922    |  ...1 |               |  /* sys_execve -> 0xfffffffffffffffe */
 9344.121438 |   1)   ping-1922    |  ...1 |               |  /* sys_execve(filename: 7ffdf95b78d0, argv: 7ffdf95b7b38, envp: 7ffdf95b7b58) */
 ------------------------------------------
 1)   ping-1922    =>   ksoftir-21  
 ------------------------------------------

 9344.122354 |   1)   ksoftir-21   |  ..s. |               |  e1000_clean [e1000]() {
 9344.122358 |   1)   ksoftir-21   |  ..s. |   1.747 us    |    e1000_clean_rx_irq [e1000]();
 9344.122361 |   1)   ksoftir-21   |  ..s. |   1.345 us    |    e1000_update_itr [e1000]();
 9344.122363 |   1)   ksoftir-21   |  ..s. |   0.727 us    |    e1000_update_itr [e1000]();
 9344.122387 |   1)   ksoftir-21   |  ..s. | + 35.582 us   |  } /* e1000_clean [e1000] */
 ------------------------------------------
 1)   ksoftir-21   =>   ping-1922   
 ------------------------------------------

 9344.124550 |   1)   ping-1922    |  ...1 |               |  /* sys_execve -> 0x0 */
 9344.124666 |   1)   ping-1922    |  ...1 |               |  /* sys_brk(brk: 0) */
 9344.124668 |   1)   ping-1922    |  ...1 |               |  /* sys_brk -> 0x64506a988000 */
 9344.124716 |   1)   ping-1922    |  ...1 |               |  /* sys_arch_prctl(option: 3001, arg2: 7ffd9c845fa0) */
 9344.124717 |   1)   ping-1922    |  ...1 |               |  /* sys_arch_prctl -> 0xffffffffffffffea */
 9344.124782 |   1)   ping-1922    |  ...1 |               |  /* sys_access(filename: 782a59e089e0, mode: 4) */
 9344.124808 |   1)   ping-1922    |  ...1 |               |  /* sys_access -> 0xfffffffffffffffe */
 9344.124815 |   1)   ping-1922    |  ...1 |               |  /* sys_openat(dfd: ffffff9c, filename: 782a59e05b80, flags: 80000, mode: 0) */
 9344.124837 |   1)   ping-1922    |  ...1 |               |  /* sys_openat -> 0x3 */
 9344.124839 |   1)   ping-1922    |  ...1 |               |  /* sys_newfstat(fd: 3, statbuf: 7ffd9c8451a0) */
 9344.124845 |   1)   ping-1922    |  ...1 |               |  /* sys_newfstat -> 0x0 */
 9344.124847 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap(addr: 0, len: 12906, prot: 1, flags: 2, fd: 3, off: 0) */
 9344.124859 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap -> 0x782a59dcd000 */
 9344.124860 |   1)   ping-1922    |  ...1 |               |  /* sys_close(fd: 3) */
 9344.124862 |   1)   ping-1922    |  ...1 |               |  /* sys_close -> 0x0 */
 9344.124892 |   1)   ping-1922    |  ...1 |               |  /* sys_openat(dfd: ffffff9c, filename: 782a59e0fe10, flags: 80000, mode: 0) */
 9344.124907 |   1)   ping-1922    |  ...1 |               |  /* sys_openat -> 0x3 */
 9344.124909 |   1)   ping-1922    |  ...1 |               |  /* sys_read(fd: 3, buf: 7ffd9c845348, count: 340) */
 9344.124916 |   1)   ping-1922    |  ...1 |               |  /* sys_read -> 0x340 */
 9344.124918 |   1)   ping-1922    |  ...1 |               |  /* sys_newfstat(fd: 3, statbuf: 7ffd9c8451f0) */
 9344.124920 |   1)   ping-1922    |  ...1 |               |  /* sys_newfstat -> 0x0 */
 9344.124922 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap(addr: 0, len: 2000, prot: 3, flags: 22, fd: ffffffff, off: 0) */
 9344.124928 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap -> 0x782a59dcb000 */
 9344.124950 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap(addr: 0, len: 8158, prot: 1, flags: 802, fd: 3, off: 0) */
 9344.124958 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap -> 0x782a59dc2000 */
 9344.124960 |   1)   ping-1922    |  ...1 |               |  /* sys_mprotect(start: 782a59dc4000, len: 5000, prot: 0) */
 9344.124979 |   1)   ping-1922    |  ...1 |               |  /* sys_mprotect -> 0x0 */
 9344.124981 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap(addr: 782a59dc4000, len: 3000, prot: 5, flags: 812, fd: 3, off: 2000) */
 9344.125001 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap -> 0x782a59dc4000 */
 9344.125002 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap(addr: 782a59dc7000, len: 1000, prot: 1, flags: 812, fd: 3, off: 5000) */
 9344.125012 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap -> 0x782a59dc7000 */
 9344.125014 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap(addr: 782a59dc9000, len: 2000, prot: 3, flags: 812, fd: 3, off: 6000) */
 9344.125023 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap -> 0x782a59dc9000 */
 9344.125055 |   1)   ping-1922    |  ...1 |               |  /* sys_close(fd: 3) */
 9344.125057 |   1)   ping-1922    |  ...1 |               |  /* sys_close -> 0x0 */
 9344.125070 |   1)   ping-1922    |  ...1 |               |  /* sys_openat(dfd: ffffff9c, filename: 782a59dcb4e0, flags: 80000, mode: 0) */
 9344.125086 |   1)   ping-1922    |  ...1 |               |  /* sys_openat -> 0x3 */
 9344.125088 |   1)   ping-1922    |  ...1 |               |  /* sys_read(fd: 3, buf: 7ffd9c845328, count: 340) */
 9344.125092 |   1)   ping-1922    |  ...1 |               |  /* sys_read -> 0x340 */
 9344.125094 |   1)   ping-1922    |  ...1 |               |  /* sys_newfstat(fd: 3, statbuf: 7ffd9c8451d0) */
 9344.125096 |   1)   ping-1922    |  ...1 |               |  /* sys_newfstat -> 0x0 */
 9344.125099 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap(addr: 0, len: 11dfc8, prot: 1, flags: 802, fd: 3, off: 0) */
 9344.125109 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap -> 0x782a59ca4000 */
 9344.125110 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap(addr: 782a59cb0000, len: ce000, prot: 5, flags: 812, fd: 3, off: c000) */
 9344.125130 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap -> 0x782a59cb0000 */
 9344.125132 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap(addr: 782a59d7e000, len: 3d000, prot: 1, flags: 812, fd: 3, off: da000) */
 9344.125144 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap -> 0x782a59d7e000 */
 9344.125145 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap(addr: 782a59dbb000, len: 7000, prot: 3, flags: 812, fd: 3, off: 116000) */
 9344.125154 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap -> 0x782a59dbb000 */
 9344.125189 |   1)   ping-1922    |  ...1 |               |  /* sys_close(fd: 3) */
 9344.125191 |   1)   ping-1922    |  ...1 |               |  /* sys_close -> 0x0 */
 9344.125206 |   1)   ping-1922    |  ...1 |               |  /* sys_openat(dfd: ffffff9c, filename: 782a59dcb9f0, flags: 80000, mode: 0) */
 9344.125221 |   1)   ping-1922    |  ...1 |               |  /* sys_openat -> 0x3 */
 9344.125223 |   1)   ping-1922    |  ...1 |               |  /* sys_read(fd: 3, buf: 7ffd9c845308, count: 340) */
 9344.125226 |   1)   ping-1922    |  ...1 |               |  /* sys_read -> 0x340 */
 9344.125229 |   1)   ping-1922    |  ...1 |               |  /* sys_newfstat(fd: 3, statbuf: 7ffd9c8451b0) */
 9344.125231 |   1)   ping-1922    |  ...1 |               |  /* sys_newfstat -> 0x0 */
 9344.125233 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap(addr: 0, len: 1ba80, prot: 1, flags: 802, fd: 3, off: 0) */
 9344.125242 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap -> 0x782a59c88000 */
 9344.125244 |   1)   ping-1922    |  ...1 |               |  /* sys_mprotect(start: 782a59c8c000, len: 14000, prot: 0) */
 9344.125257 |   1)   ping-1922    |  ...1 |               |  /* sys_mprotect -> 0x0 */
 9344.125258 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap(addr: 782a59c8c000, len: 10000, prot: 5, flags: 812, fd: 3, off: 4000) */
 9344.125270 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap -> 0x782a59c8c000 */
 9344.125272 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap(addr: 782a59c9c000, len: 3000, prot: 1, flags: 812, fd: 3, off: 14000) */
 9344.125281 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap -> 0x782a59c9c000 */
 9344.125282 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap(addr: 782a59ca0000, len: 2000, prot: 3, flags: 812, fd: 3, off: 17000) */
 9344.125293 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap -> 0x782a59ca0000 */
 9344.125307 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap(addr: 782a59ca2000, len: 1a80, prot: 3, flags: 32, fd: ffffffff, off: 0) */
 9344.125315 |   1)   ping-1922    |  ...1 |               |  /* sys_mmap -> 0x782a59ca2000 */
 9344.125335 |   1)   ping-1922    |  ...1 |               |  /* sys_close(fd: 3) */
 9344.125337 |   1)   ping-1922    |  ...1 |               |  /* sys_close -> 0x0 */
 9344.125350 |   1)   ping-1922    |  ...1 |               |  /* sys_openat(dfd: ffffff9c, filename: 782a59dcbf00, flags: 80000, mode: 0) */
 9344.125365 |   1)   ping-1922    |  ...1 |               |  /* sys_openat -> 0x3 */
 9344.125367 |   1)   ping-1922    |  ...1 |               |  /* sys_read(fd: 3, buf: 7ffd9c8452e8, count: 340) */
 9344.125371 |   1)   ping-1922    |  ...1 |               |  /* sys_read -> 0x340 */
 9344.125372 |   1)   ping-1922    |  ...1 |               |  /* sys_pread64(fd: 3, buf: 7ffd9c844f00, count: 310, pos: 40) */
 9344.125375 |   1)   ping-1922    |  ...1 |               |  /* sys_pread64 -> 0x310 */
 9344.125376 |   1)   ping-1922    |  ...1 |               |  /* sys_pread64(fd: 3, buf: 7ffd9c844ed0, count: 20, pos: 350) */
 9344.125378 |   1)   ping-1922    |  ...1 |               |  /* sys_pread64 -> 0x20 */
